City,MSA
Seattle,"Seattle-Tacoma-Bellevue, WA"
Tacoma,"Seattle-Tacoma-Bellevue, WA"
Bellevue,"Seattle-Tacoma-Bellevue, WA"
Redmond,"Seattle-Tacoma-Bellevue, WA"
Renton,"Seattle-Tacoma-Bellevue, WA"
Everett,"Seattle-Tacoma-Bellevue, WA"
Kent,"Seattle-Tacoma-Bellevue, WA"
Kirkland,"Seattle-Tacoma-Bellevue, WA"
Federal Way,"Seattle-Tacoma-Bellevue, WA"
Issaquah,"Seattle-Tacoma-Bellevue, WA"
Shoreline,"Seattle-Tacoma-Bellevue, WA"
Lynnwood,"Seattle-Tacoma-Bellevue, WA"
Washington,"Seattle-Tacoma-Bellevue, WA"
San Francisco,"San Francisco-Oakland-Hayward, CA"
Bay Area,"San Francisco-Oakland-Hayward, CA"
Oakland,"San Francisco-Oakland-Hayward, CA"
Berkeley,"San Francisco-Oakland-Hayward, CA"
San Jose,"San Francisco-Oakland-Hayward, CA"
Mountain View,"San Francisco-Oakland-Hayward, CA"
Sunnyvale,"San Francisco-Oakland-Hayward, CA"
Palo Alto,"San Francisco-Oakland-Hayward, CA"
Fremont,"San Francisco-Oakland-Hayward, CA"
Santa Clara,"San Francisco-Oakland-Hayward, CA"
Daly City,"San Francisco-Oakland-Hayward, CA"
Cupertino,"San Francisco-Oakland-Hayward, CA"
California,"San Francisco-Oakland-Hayward, CA"
New York,"New York-Newark-Jersey City, NY-NJ-PA"
Manhattan,"New York-Newark-Jersey City, NY-NJ-PA"
Brooklyn,"New York-Newark-Jersey City, NY-NJ-PA"
Queens,"New York-Newark-Jersey City, NY-NJ-PA"
Bronx,"New York-Newark-Jersey City, NY-NJ-PA"
Jersey City,"New York-Newark-Jersey City, NY-NJ-PA"
Newark,"New York-Newark-Jersey City, NY-NJ-PA"
Hoboken,"New York-Newark-Jersey City, NY-NJ-PA"
Staten Island,"New York-Newark-Jersey City, NY-NJ-PA"
Yonkers,"New York-Newark-Jersey City, NY-NJ-PA"
White Plains,"New York-Newark-Jersey City, NY-NJ-PA"
Paterson,"New York-Newark-Jersey City, NY-NJ-PA"
Elizabeth,"New York-Newark-Jersey City, NY-NJ-PA"
NYC,"New York-Newark-Jersey City, NY-NJ-PA"
New York State,"New York-Newark-Jersey City, NY-NJ-PA"
Boston,"Boston-Cambridge-Newton, MA-NH"
Cambridge,"Boston-Cambridge-Newton, MA-NH"
Newton,"Boston-Cambridge-Newton, MA-NH"
Somerville,"Boston-Cambridge-Newton, MA-NH"
Brookline,"Boston-Cambridge-Newton, MA-NH"
Quincy,"Boston-Cambridge-Newton, MA-NH"
Medford,"Boston-Cambridge-Newton, MA-NH"
Waltham,"Boston-Cambridge-Newton, MA-NH"
Chelsea,"Boston-Cambridge-Newton, MA-NH"
Malden,"Boston-Cambridge-Newton, MA-NH"
Lowell,"Boston-Cambridge-Newton, MA-NH"
Lynn,"Boston-Cambridge-Newton, MA-NH"
Massachusetts,"Boston-Cambridge-Newton, MA-NH"
Austin,"Austin-Round Rock, TX"
Round Rock,"Austin-Round Rock, TX"
Pflugerville,"Austin-Round Rock, TX"
Cedar Park,"Austin-Round Rock, TX"
Georgetown,"Austin-Round Rock, TX"
Leander,"Austin-Round Rock, TX"
San Marcos,"Austin-Round Rock, TX"
Kyle,"Austin-Round Rock, TX"
Hutto,"Austin-Round Rock, TX"
Lakeway,"Austin-Round Rock, TX"
Texas,"Austin-Round Rock, TX"
Chicago,"Chicago-Naperville-Elgin, IL-IN-WI"
Naperville,"Chicago-Naperville-Elgin, IL-IN-WI"
Elgin,"Chicago-Naperville-Elgin, IL-IN-WI"
Evanston,"Chicago-Naperville-Elgin, IL-IN-WI"
Schaumburg,"Chicago-Naperville-Elgin, IL-IN-WI"
Skokie,"Chicago-Naperville-Elgin, IL-IN-WI"
Oak Park,"Chicago-Naperville-Elgin, IL-IN-WI"
Des Plaines,"Chicago-Naperville-Elgin, IL-IN-WI"
Waukegan,"Chicago-Naperville-Elgin, IL-IN-WI"
Arlington Heights,"Chicago-Naperville-Elgin, IL-IN-WI"
Aurora,"Chicago-Naperville-Elgin, IL-IN-WI"
Joliet,"Chicago-Naperville-Elgin, IL-IN-WI"
Illinois,"Chicago-Naperville-Elgin, IL-IN-WI"
Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
LA,"Los Angeles-Long Beach-Anaheim, CA"
Long Beach,"Los Angeles-Long Beach-Anaheim, CA"
Anaheim,"Los Angeles-Long Beach-Anaheim, CA"
Santa Ana,"Los Angeles-Long Beach-Anaheim, CA"
Irvine,"Los Angeles-Long Beach-Anaheim, CA"
Glendale,"Los Angeles-Long Beach-Anaheim, CA"
Pasadena,"Los Angeles-Long Beach-Anaheim, CA"
Torrance,"Los Angeles-Long Beach-Anaheim, CA"
Burbank,"Los Angeles-Long Beach-Anaheim, CA"
Inglewood,"Los Angeles-Long Beach-Anaheim, CA"
Pomona,"Los Angeles-Long Beach-Anaheim, CA"
Southern California,"Los Angeles-Long Beach-Anaheim, CA"
Houston,"Houston-The Woodlands-Sugar Land, TX"
The Woodlands,"Houston-The Woodlands-Sugar Land, TX"
Sugar Land,"Houston-The Woodlands-Sugar Land, TX"
Pasadena,"Houston-The Woodlands-Sugar Land, TX"
Baytown,"Houston-The Woodlands-Sugar Land, TX"
Pearland,"Houston-The Woodlands-Sugar Land, TX"
League City,"Houston-The Woodlands-Sugar Land, TX"
Missouri City,"Houston-The Woodlands-Sugar Land, TX"
Spring,"Houston-The Woodlands-Sugar Land, TX"
Conroe,"Houston-The Woodlands-Sugar Land, TX"
Tomball,"Houston-The Woodlands-Sugar Land, TX"
TX,"Houston-The Woodlands-Sugar Land, TX"
Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
Arlington,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
Alexandria,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
Bethesda,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
Silver Spring,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
Rockville,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
Fairfax,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
Falls Church,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
Reston,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
Gaithersburg,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
Tysons,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
Denver,"Denver-Aurora-Lakewood, CO"
Aurora,"Denver-Aurora-Lakewood, CO"
Lakewood,"Denver-Aurora-Lakewood, CO"
Westminster,"Denver-Aurora-Lakewood, CO"
Thornton,"Denver-Aurora-Lakewood, CO"
Arvada,"Denver-Aurora-Lakewood, CO"
Boulder,"Denver-Aurora-Lakewood, CO"
Centennial,"Denver-Aurora-Lakewood, CO"
Littleton,"Denver-Aurora-Lakewood, CO"
Broomfield,"Denver-Aurora-Lakewood, CO"
Colorado,"Denver-Aurora-Lakewood, CO"
Delaware,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
Michigan,"Detroit-Warren-Dearborn, MI"
Kentucky,"Louisville/Jefferson County, KY-IN"
